Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Comment,Additional comment
data_51,87_spw25,max,29SiOv=0,2–1,85.759188,9,very likely. seen in Belloche+. low velocity,
data_51,87_spw25,max,CCS,N=7–6 J=6–5,86.181391,71,Adam: probably real but very weak,
data_51,87_spw25,max,SiOv=1,2–1,86.24337,35,,maser in evolved star atmospheres
data_51,87_spw25,max,H13CN,1–0 F 1–1,86.338735,0,seen in Jones+2012. can't get code to detect,
data_51,87_spw25,max,H13CO+,1–0,86.7542619,68,real. seen in Jones+2012,
data_51,87_spw25,max,SiOv=0,2–1,86.84696,13,seen in Jones+2012. low velocity,
data_51,87_spw25,max,HN13C,1–0 F 0–1,87.090735,36,seen in Jones+2012,
data_51,87_spw25,max,CCHv=0,N=1–0 J=3/2–1/2 F=1–1,87.284105,41,seen in Jones (so is HNCO near freq),
data_51,87_spw25,max,HNCO, 4(0 4)–3(0 3),87.925238,0,seen in Jones. should be brighter than CCH but outside of freq range of spw,
data_51,87_spw25,max,CCH, 1–0 −1–1/2 F = 1–1,87.402004,0,bright. maybe also CCH? (Jones+2012). can't get code to detect,
data_51,87_spw25,max,CCH,1–0 −1–1/2 F = 0–1,87.407165,0,bright. maybe also CCH? (Jones+2012). can't get code to detect,
data_51,87_spw25,max,NH2D,"1(1,1)-1(0,1)",85.926263,16.7,two velocity components (with below),
data_51,87_spw25,max,NH2D,"1(1,1)-1(0,1)",85.926263,41,two velocity components (with above),
data_51,87_spw25,mean,H13CN,1–0 F = 1–1,86.338735,0,seen in Jones+2012. can't get code to detect,
data_51,87_spw25,mean,H13CO+,1–0,86.7542619,38,seen in Jones+2012,
data_51,87_spw25,mean,SiOv=0,2–1,86.84696,21,seen in Jones+2012,
data_51,87_spw25,mean,HN13C,J=1–0 F=0–1,87.090735,17,seen in Jones+2012,
data_51,87_spw25,mean,CCHv=0,N=1–0 J=3/2–1/2 F=2–1,87.316898,50,seen in Jones+2012,
data_51,87_spw25,mean,CCH, 1–0 −1–1/2 F = 1–1,87.402004,0,bright. maybe also CCH? (Jones+2012). can't get code to detect,
data_51,87_spw25,mean,CCH,1–0 −1–1/2 F = 0–1,87.407165,0,bright. maybe also CCH? (Jones+2012). can't get code to detect,
data_55,102_spw106,max,NH2CHO, 5(1 5)–4(1 4),102.064263,41,Jones+2008 and code agree,
data_55,102_spw106,max,H2COH+,4(0 4)–3(1 3),102.065856,46,Jones+2008 and code agree,
data_55,102_spw106,max,CH3CCHv=0,6(3)–5(3),102.530346,39,seen in Jones+2008,thermometer
data_55,102_spw106,max,(CH3)2COvt=1,10(* 10)–9(* 9),102.533756,61,acetone. maybe? could be mis-ID of CH3CCH. Adam is skeptical of these,
data_55,102_spw106,max,(CH3)2COv=0,10(0 10)–9(1 9)EE,102.554696,49,acetone. maybe? could be mis-ID of CH3CCH. Adam is skeptical of these,
data_55,102_spw106,max,H2CS,3(2 2)–2(2 1),103.03999,37,seen in Jones+2008,
data_55,102_spw106,mean,NH2CHO, 5(1 5)–4(1 4),102.064263,25,Jones+2008 and code agree,
data_55,102_spw106,mean,H2COH+,4(0 4)–3(1 3),102.065856,46,Jones+2008 and code agree,
data_55,102_spw106,mean,CH3CCHv=0,6(2)–5(2),102.547983,12,seen in Jones+2008,thermometer
data_55,102_spw106,mean,(CH3)2COv=0,10(0 10)–9(1 9)EE,102.554696,55,acetone. maybe? could be mis-ID of CH3CCH. Adam is skeptical of these,
data_55,102_spw106,mean,H2CS,3(2 2)–2(2 1),103.03999,41,seen in Jones+2008,
