Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Observed frequency (GHz),Velocity (km/s),Comment,Spectrum
data_51,87_spw25,max,29SiOv=0,2–1,85.759188,85.75661522,9,"Seen in Belloche+. Low velocity. Off-center point source, and cavity emission.",
data_51,87_spw25,max,NH2D,"1(1,1)-1(0,1)",85.926263,85.92147977,16.7,"Two velocity components, another at 41 km/s. Small off-center structures.",
data_51,87_spw25,max,SiOv=1,2–1,86.24337,86.23330827,35,Two masers at different locations/velocities. From evolved star atmospheres.,
data_51,87_spw25,maxmean,NH2CHO,"7(1,6)-7(0,7), F=7-7",86.381831,86.32424311,200,Formamide. SPL has nothing but gauche-Ethanol or formamide (both very high velocity).,
data_51,87_spw25,maxmean,H13CO+,1–0,86.7542619,86.7345976,68,Real (?). Seen in Jones+2012. Looks messy (no structure). Mean at 38 km/s.,
data_51,87_spw25,maxmean,SiOv=0,2–1,86.84696,86.84319663,13,"Seen in Jones+2012. Some masers (86.830702), cavity centered on 86.847302. Mean at 21 km/s.",
data_51,87_spw25,max,HN13C,J=1–0 F=0–1,87.090735,87.08028411,36,Seen in Jones+2012. Traces cavity. Alternate ID could be HC17O+. Mean at 17 km/s.,
data_51,87_spw25,maxmean,CCHv=0,N=1–0 J=3/2–1/2 F=1–1,87.284105,87.27217617,41,Seen in Jones. Looks messy (no structure). Mean at 50 km/s.,
data_51,87_spw25,maxmean,CCHv=0, 1–0 −1–1/2 F = 1–1,87.402004,87.38918504,44,Looks messy (no structure).,
data_51,87_spw25,maxmean,CCHv=0,1–0 −1–1/2 F = 0–1,87.407165,87.394928,42,Looks messy (no structure).,
data_51,89_spw27,max,CCHv=0,"N=1-0,J=1/2-1/2,F=1-0",87.446512,87.43512342,39,"In Jones, Belloche; also in mean but weaker.",
data_51,89_spw27,maxmean,NH2CHO,"4(1,3)-3(1,2),F=4-4",87.8485326,87.8371146,39,In Belloche. Mean at 28 km/s.,
data_51,89_spw27,maxmean,HNCOv=0,"4(0,4)-3(0,3),F=3-3",87.9243509,87.90494884,66,"In Jones, Belloche. Very bright. Mean at 20 km/s.",
data_51,89_spw27,mean,H13CCCNv=0,J=10-9,88.166832,88.15773018,31,In Belloche. HCCN would be at 183 km/s.,
data_51,89_spw27,maxmean,HCNv=0,"J=1-0,F=1-1",88.6304157,88.61765497,43,"In Jones, Belloche. Very bright. Weird structure (line wing?).",
data_51,89_spw27,maxmean,HCO+v=0,1-0,89.1885247,89.17632778,41,"In Jones, Belloche.",
data_55,91_spw25,maxmean,C2H5OH,"4(1,4)-3(0,3)",90.1176008,90.11309492,15,"This is ethanol (gauche). CH3OCHO (Methyl formate) 7(2,5)-6(2,4)E at 90.145634.",
data_55,91_spw25,maxmean,HNCv=0,J=1-0,90.663562,90.65531888,27,"Complicated spectrum. Could include HC13CCNv=0 J=10-9,F=9-8 at 90.5930338 (38 km/s), HCC13CNv=0 J=10-9 at 90.601777 (67 km/s), or CCS N=7-6,J=7-6 at 90.686381 (102 km/s).",
