Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Observed frequency (GHz),Velocity (km/s),Comment,Spectrum
data_31,127_spw65,max,,,,,,"No lines found in SPL, but the scale is very high (0 to 3 K).",
data_31,127_spw65,mean,,,,,,"No lines found in SPL, but the scale is very low (0 to 0.0004 K).",
data_31,129_spw67,max,HC3Nv=0,J=14-13,127.36766,127.3603775,17,"Could also be NH2CHO 6(3,4)-5(3,3) at 127.39352 (77 km/s).",
data_31,129_spw67,max,HC3Nv=0,?,127.82,,,Code did not catch. SPL has no hits.,
data_31,129_spw67,mean,HC3Nv=0,J=14-13,127.36766,127.3515447,38,"Could also be NH2CHO 6(3,4)-5(3,3) at 127.39352 (77 km/s).",
data_31,129_spw67,mean,HC3Nv=0,?,127.82,,,Code did not catch. SPL has no hits.,
data_31,129_spw67,mean,HOCO+,"6(0,6)-5(0,5)",128.295063,128.2781104,40,Very dim.,
data_31,130_spw105,max,CH3CNv=0,"7(0)-6(0),F=8-7",128.7793781,128.774,12,,
data_31,130_spw105,max,SO3&Sigma;v=0,3(3)-2(2),129.138923,129.1217045,40,Code did not catch. This molecule is Sulfur monoxide.,
data_31,130_spw105,max,SiOv=1,3-2,129.36324,129.3562974,16,Could be? Line is messy and multi-component.,See below spectrum.
data_31,130_spw105,max,SiOv=0,3-2,130.26861,130.2385449,69,,
data_31,130_spw105,mean,CH3CNv=0,"7(0)-6(0),F=8-7",128.7793781,128.774,12,,
data_31,130_spw105,mean,SO3&Sigma;v=0,3(3)-2(2),129.138923,129.1217045,40,Sulfur monoxide.,
data_31,130_spw105,mean,SiOv=0,3-2,130.26861,130.2385277,69,,
data_31,132_spw107,max,SiOv=0,3-2,130.26861,130.2384317,69,Overlap with prev spw.,
data_31,132_spw107,max,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,131.8552061,68,,
data_31,132_spw107,mean,SiOv=0,3-2,130.26861,130.2387203,69,Overlap with prev spw.,
data_31,132_spw107,mean,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,131.8557489,66,,
data_31,134_spw45,max,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,131.8796268,12,Overlap with prev spw (on edge).,
data_31,134_spw45,max,CH3OHvt=0-2,"6(-1,6)-5(0,5)",132.8908,132.8820616,20,SPL does not show?,
data_31,134_spw45,mean,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,131.8802783,10,Overlap with prev spw (on edge).,
data_31,134_spw45,mean,CH3OHvt=0-2,"6(-1,6)-5(0,5)",132.8908,132.873761,38,SPL does not show?,
data_31,135_spw47,max,CH3OHvt=0-2,"5(-2,4)-6(-1,6)",133.605385,133.582267,52,SPL does not show?,
data_31,135_spw47,max,OCSv=0,11-10,133.785897,133.768358,39,,
data_31,135_spw47,max,H2CS,"4(1,4)-3(1,3)",135.297811,135.280633,38,,
data_31,135_spw47,mean,OCSv=0,11-10,133.785897,133.7690774,38,,
data_31,135_spw47,mean,"CH3CHOv=0,1&2","7(0,7)-6(0,6)E",133.830494,133.8117629,42,SPL doesn't show this hit anymore.,
