Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Observed frequency (GHz),Velocity (km/s),Comment,Spectrum
data_51,89_spw27,max,CCHv=0,"N=1-0,J=1/2-1/2,F=1-0",87.446512,87.43512342,39,"In Jones, Belloche; also in mean but weaker.",
data_51,89_spw27,max,NH2CHO,"4(1,3)-3(1,2),F=4-4",87.8485326,87.8371146,39,In Belloche.,
data_51,89_spw27,max,HNCOv=0,"4(0,4)-3(0,3),F=3-3",87.9243509,87.90494884,66,"In Jones, Belloche. Very bright.",
data_51,89_spw27,max,HCNv=0,"J=1-0,F=1-1",88.6304157,88.61765497,43,"In Jones, Belloche. Very bright.",
data_51,89_spw27,max,HCO+v=0,1-0,89.1885247,89.17632778,41,"In Jones, Belloche.",
data_51,89_spw27,mean,NH2CHO,"4(1,3)-3(1,2),F=4-4",87.8485326,87.84022521,28,In Belloche.,
data_51,89_spw27,mean,HNCOv=0,"4(0,4)-3(0,3),F=3-3",87.9243509,87.91853262,20,"In Jones, Belloche. Very bright.",
data_51,89_spw27,mean,H13CCCNv=0,J=10-9,88.166832,88.15773018,31,In Belloche. HCCN would be at 183 km/s.,
data_51,89_spw27,mean,HCNv=0,"J=1-0,F=1-1",88.6304157,88.61877003,39,"In Jones, Belloche; weird structure (line wing?).",
data_51,89_spw27,mean,HCO+v=0,1-0,89.1885247,89.17612123,42,"In Jones, Belloche.",
