Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Comment,Additional comment
data59,95_spw25,max,"CH3CHOv=0,1&2","5(1,5)-4(1,4)A++",93.580914,38.26628237,maybe C2H5OH?,
data59,95_spw25,max,C4Hv7=1,"J=19/2-17/2,&Omega;=1/2,l=e",93.5859904,54.52589743,,
data59,95_spw25,max,13CH3OHvt=0,"2(1,1)-1(1,0)E",94.420439,20.53835045,in Belloche,
data59,95_spw25,max,CH3OHvt=0-2,"8(0,8)-7(1,7)++",95.169516,44.91297686,in Belloche,
data59,95_spw25,mean,"CH3CHOv=0,1&2","5(1,5)-4(1,4)A++",93.580914,35.50208317,maybe C2H5OH?,
data59,95_spw25,mean,C4Hv7=1,"J=19/2-17/2,&Omega;=1/2,l=e",93.5859904,51.76184817,,
data59,95_spw25,mean,CH3OCH3,"4(2,3)-4(1,4)AA",93.85964,0.321422814,in Belloche,
data59,95_spw25,mean,CCS,"8,7-7,6",93.870098,33.7210488,in Belloche,
data59,95_spw25,mean,13CH3OHvt=0,"2(0,2)-1(0,1)A+",94.407129,28.1978716,in Belloche,
data59,95_spw25,mean,CH3OHvt=0-2,"8(0,8)-7(1,7)++",95.169516,34.826217,in Belloche,
data59,106_spw29,max,CH2NH,"4(0,4)-3(1,3)",105.794057,41.68618629,in Belloche,
data59,106_spw29,max,H13CCCNv=0,J=12-11,105.799093,55.95421869,in Belloche,
data59,106_spw29,max,HOCO+,"5(0,5)-4(0,4)",106.913524,38.47177397,in Belloche,
data59,106_spw29,max,CH3CH213CN,"12(4,9)-11(4,8)",107.006772,20.65288951,in Belloche,
data59,106_spw29,max,CH3OHvt=0-2,"3(1,3)-4(0,4)++",107.01377,40.25600312,in Belloche,
data59,106_spw29,max,CH313CH2CN,"12(4,9)-11(4,8)",107.024746,70.99730635,in Belloche,
data59,106_spw29,mean,CH2NH,"4(0,4)-3(1,3)",105.794057,34.76879723,in Belloche,
data59,106_spw29,mean,H13CCCNv=0,J=12-11,105.799093,49.0371589,in Belloche,
data59,106_spw29,mean,CCS,"N=8-7,J=9-8",106.347726,36.05169637,in Belloche,
data59,106_spw29,mean,NH2CHO,"5(2,3)-4(2,2),F=4-4",106.5415619,34.65119194,in Belloche,
data59,106_spw29,mean,HOCO+,"5(0,5)-4(0,4)",106.913524,31.04912462,in Belloche,
data59,106_spw29,mean,CH3OHvt=0-2,"3(1,3)-4(0,4)++",107.01377,8.267243029,in Belloche,
data59,106_spw29,mean,CH313CH2CN,"12(4,9)-11(4,8)",107.024746,39.01182688,in Belloche,
data59,107_spw31,max,CH3OCHOv=0,"14(3,12)-14(2,13)A",108.883548,11.85309487,in Belloche,
data59,107_spw31,max,CH3OHvt=0-2,"0(0,0)-1(-1,1)",108.893929,40.43157017,in Belloche (stronger than CH3OCHO),
data59,107_spw31,max,13CH3OHvt=0,"0(0,0)-1(-1,1)E",109.164048,43.96255785,in Belloche,
data59,107_spw31,max,HC3Nv=0,J=12-11,109.173634,70.28199938,"in Belloche (not sure which, stronger than 13CH3OH)",
data59,107_spw31,max,HC3Nv5=1,"J=12-11,l=1e",109.182946,43.01670049,,
data59,107_spw31,mean,13CN,"N=1-0,J=3/2-1/2,F1=2-1,F=3-2",108.780201,35.74552057,in Belloche,
data59,107_spw31,mean,CH3OHvt=0-2,"0(0,0)-1(-1,1)",108.893929,21.53361437,"in Belloche (could also be CH3OCHO, but stronger)",
data59,107_spw31,mean,HC3Nv=0,J=12-11,109.173634,24.45255479,in Belloche (not sure which),
data59,107_spw31,mean,HC3Nv5=1,"J=12-11,l=1e",109.182946,50.0191819,,
data59,107_spw31,mean,SO3&Sigma;v=0,2(3)-1(2),109.252212,36.45481079,strong SO line in Belloche (not SO3?),
