Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Eu (K),Comment,Additional comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,273_spw51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,271_spw49,max,HNCv=0,J=3-2,271.981111,51.17930862,26.10691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,271_spw49,mean,HNCv=0,J=3-2,271.981111,42.72869785,26.10691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,271_spw49,mean,UnidentifiedTransition,U-272028,272.028,60.5246107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270_spw91,max,CH3OCHOv=0,"22(14,9)-21(14,8)A",270.501864,18.51243451,279.23762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270_spw91,max,H2CS,"8(1,8)-7(1,7)",270.52202,40.84793107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270_spw91,max,13CH3CH2CN,"31(6,25)-30(6,24)",271.477614,7.478957362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270_spw91,max,SO2v=0,"7(2,6)-6(1,5)",271.528993,64.20458459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270_spw91,mean,CH3OCHOv=0,"22(14,9)-21(14,8)A",270.501864,18.39704669,279.23762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270_spw91,mean,H2CS,"8(1,8)-7(1,7)",270.52202,40.73255185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,268_spw89,max,13CH3CN,"15(3)-14(3),F=15-14",267.9050282,3.877811561,167.2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,266_spw31,max,CH3OHvt=0-2,"5(2,3)-4(1,3)",266.838123,40.74286352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HCO+v=0,3-2,267.5576259,63.00651578,25.68168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,13CH3CH2CN,"32(1,32)-31(1,31)",267.600919,55.96891316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH313CH2CN,"30(8,23)-29(8,22)",267.608931,64.94278687,268.27061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-267620,267.62,69.61404727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OHvt=0-2,"5(2,3)-4(1,3)",266.838123,38.51694235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HCO+v=0,3-2,267.5576259,69.42936924,25.68168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,13CH3CH2CN,"32(1,32)-31(1,31)",267.600919,72.02854956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH313CH2CN,"30(8,23)-29(8,22)",267.608931,59.66847612,268.27061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-267620,267.62,72.06568951,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,264_spw29,max,CH3OHvt=0-2,"6(1,5)-5(2,3)",265.289616,41.10239167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,c-HCCCHv=0,"4(4,1)-3(3,0)",265.759438,41.42031634,32.22033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-265760,265.76,42.05419685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HCNv2=1,"J=3-2,F=3-2,l=1e",265.8524091,38.97072587,1049.89177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HCNv=0,J=3-2,265.88618,52.88346326,25.52118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,c-HCCCHv=0,"4(4,1)-3(3,0)",265.759438,41.17198759,32.22033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-265760,265.76,41.80586862,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HCNv2=1,"J=3-2,F=3-2,l=1e",265.8524091,40.34341394,1049.89177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,13CH3CH2CN,"30(2,28)-29(2,27)",265.968642,66.77415245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,263_spw111,max,UnidentifiedTransition,U-263744,263.744,37.12676458,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HNCOv=0,"12(0,12)-11(0,11)",263.748625,42.38316509,82.28046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,AlFv=0,"J=8-7,F=17/2-19/2",263.74935,43.20712467,56.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HC3Nv=0,J=29-28,263.792301,41.12988043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CH2CNv=0,"29(2,27)-28(2,26)",263.810807,62.15706328,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-263744,263.744,52.83589958,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HNCOv=0,"12(0,12)-11(0,11)",263.748625,58.09202462,82.28046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,AlFv=0,"J=8-7,F=17/2-19/2",,263.74935,,58.91594102,,56.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,
,261_spw109,max,UnidentifiedTransition,U-261234,261.234,7.384946334,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OCH3,"15(5,10)-15(4,11)EA",261.2464563,21.67877775,144.43934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv=0,"27(2,25)-26(2,24)",261.254679,31.1137291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HN13C,J=3-2,261.2633101,41.01665094,25.07746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,g-CH3CH2OH,"15(1,14)-14(1,13),vt=1-1",261.286241,67.32331868,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OHvt=0-2,"2(1,1)-1(0,1)",261.805736,40.90607553,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO3&Sigma;v=0,7(6)-6(5),261.843684,40.62517353,47.55111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CCHv=0,"N=3-2,J=7/2-5/2,F=4-3",262.0042266,40.84213365,25.14927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OCHOv=0,"16(10,6)-16(9,7)A",262.088241,67.47258083,146.58797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-261234,261.234,7.433882839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OCH3,"15(5,10)-15(4,11)EA",261.2464563,21.72771193,144.43934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH2CHCNv=0,"27(2,25)-26(2,24)",261.254679,31.16266174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HN13C,J=3-2,261.2633101,41.06558196,25.07746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,g-CH3CH2OH,"15(1,14)-14(1,13),vt=1-1",261.286241,67.3722454,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OHvt=0-2,"2(1,1)-1(0,1)",261.805736,37.76469741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,SO3&Sigma;v=0,7(6)-6(5),261.843684,55.38221135,47.55111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CCHv=0,"N=3-2,J=7/2-5/2,F=4-3",262.0042266,40.38861818,25.14927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OCHOv=0,"16(10,6)-16(9,7)A",262.088241,67.52557067,146.58797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,259_spw71,max,NH2CN,"13(2,11)-12(2,10),v=1",259.390543,5.183934141,214.96087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-259398,259.398,13.80201795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,13CH3CH2CN,"31(0,31)-30(0,30)",259.409278,26.83510492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CH2CNv=0,"29(6,24)-28(6,23)",260.221653,2.138901837,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,NaClv=0,20-19,260.223092,3.796703479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OCHOv=0,"21(3,18)-20(3,17)E",260.24445,28.40005709,146.75702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,g-CH3CH2OH,"33(6,27)-32(7,26),vt=1-1",260.2487548,33.35848357,573.76032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
